n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2022-12-02 06:30:00,10.1,n,n,n,n,n,n,n,n,n,n,n,13.8,n,n,n,7,n,n,n,6,n,n,n,12.5,n,n,n,9.6,n,n,n,4.4,n,n,n,4.5,n,n,n,2,n,n,n,2,n,n,n
2022-12-02 07:30:00,15.3,n,n,n,1.7,n,n,n,1.6,n,n,n,19.2,n,n,n,9,n,n,n,5,n,n,n,13.1,n,n,n,6.4,n,n,n,1.5,n,n,n,13.2,n,n,n,7,n,n,n,6,n,n,n
2022-12-02 08:30:00,14,n,n,n,4.1,n,n,n,3.1,n,n,n,11.1,n,n,n,5,n,n,n,11,n,n,n,6.7,n,n,n,4.6,n,n,n,0.8,n,n,n,8.1,n,n,n,7,n,n,n,3,n,n,n
2022-12-02 09:30:00,24.4,n,n,n,5.5,n,n,n,5,n,n,n,20.8,n,n,n,2,n,n,n,n,n,n,n,6,n,n,n,3,n,n,n,n,n,n,n,12.4,n,n,n,8,n,n,n,6,n,n,n
2022-12-02 10:30:00,25.1,n,n,n,7.7,n,n,n,7.8,n,n,n,11.6,n,n,n,5,n,n,n,6,n,n,n,5.9,n,n,n,2.9,n,n,n,n,n,n,n,7.8,n,n,n,9,n,n,n,3,n,n,n
2022-12-02 11:30:00,18.5,n,n,n,13.1,n,n,n,13.7,n,n,n,14.3,n,n,n,8,n,n,n,6,n,n,n,4.9,n,n,n,3.8,n,n,n,n,n,n,n,8.2,n,n,n,7,n,n,n,3,n,n,n
2022-12-02 12:00:00,n,n,18.7,VM,n,n,6.1,VM,n,n,6.1,VM,n,n,12.1,VM,n,n,6.7,VM,n,n,5.4,VM,n,n,11.9,VM,n,n,8.5,VM,n,n,n,n,n,n,11.2,VM,n,n,4.7,VM,n,n,3,VM
2022-12-02 12:30:00,15.9,n,n,n,5.9,n,n,n,6,n,n,n,13,n,n,n,5,n,n,n,3,n,n,n,3.8,n,n,n,3.5,n,n,n,n,n,n,n,5.1,n,n,n,3,n,n,n,3,n,n,n
2022-12-02 13:30:00,25,n,n,n,7,n,n,n,8,n,n,n,16.1,n,n,n,8,n,n,n,n,n,n,n,3.6,n,n,n,6.1,n,n,n,n,n,n,n,15.8,n,n,n,1,n,n,n,n,n,n,n
2022-12-02 14:30:00,27,n,n,n,15,n,n,n,13,n,n,n,16.3,n,n,n,8,n,n,n,7,n,n,n,31.8,n,n,n,40.7,n,n,n,32.3,n,n,n,20.8,n,n,n,2,n,n,n,2,n,n,n
2022-12-02 15:30:00,37.7,n,n,n,7,n,n,n,7,n,n,n,13.9,n,n,n,6,n,n,n,5,n,n,n,25.1,n,n,n,26.2,n,n,n,15.9,n,n,n,18.9,n,n,n,5,n,n,n,3,n,n,n
2022-12-02 16:30:00,27,n,n,n,9,n,n,n,10,n,n,n,16.6,n,n,n,6,n,n,n,6,n,n,n,43,n,n,n,7.3,n,n,n,1.8,n,n,n,12.2,n,n,n,3,n,n,n,5,n,n,n
