2023-06-01 13:30:00,n,49.8,n,n,n,29,n,n,n,3,n,n,n,1.8,n,n,n,260.1,n,n,n,49.1,n,n,n,24,n,n,n,8,n,n,n,1.5,n,n,n,230.2,n,n,n,16.4,n,n,n,15.6,n,n,n,9,n,n,n,3.1,n,n,n,337.7,n,n,n,69,n,n,n,59,n,n,n,6,n,n,n,2.9,n,n,n,291.5,n,n,n
2023-06-01 14:30:00,n,40.1,n,n,n,27,n,n,n,3,n,n,n,2.2,n,n,n,240.3,n,n,n,49.3,n,n,n,31,n,n,n,8,n,n,n,1.2,n,n,n,206.2,n,n,n,15.4,n,n,n,13.4,n,n,n,10.2,n,n,n,2.5,n,n,n,333.7,n,n,n,50.2,n,n,n,22,n,n,n,5,n,n,n,3,n,n,n,278.1,n,n,n
2023-06-01 15:30:00,n,74.9,n,n,n,61,n,n,n,6,n,n,n,2.2,n,n,n,250.9,n,n,n,52.9,n,n,n,24,n,n,n,14,n,n,n,1.3,n,n,n,237.8,n,n,n,33.5,n,n,n,26.5,n,n,n,21.7,n,n,n,2.7,n,n,n,344.7,n,n,n,70.9,n,n,n,69,n,n,n,41,n,n,n,2.7,n,n,n,292,n,n,n
2023-06-01 16:30:00,n,73.8,n,n,n,42,n,n,n,11,n,n,n,1.2,n,n,n,252.3,n,n,n,72.9,n,n,n,36,n,n,n,11,n,n,n,1.3,n,n,n,245.5,n,n,n,29.4,n,n,n,24,n,n,n,23.5,n,n,n,1.7,n,n,n,307.6,n,n,n,89.1,n,n,n,41,n,n,n,19,n,n,n,2.7,n,n,n,289.9,n,n,n
2023-06-01 17:30:00,n,184.9,n,n,n,77,n,n,n,17,n,n,n,0.8,n,n,n,264.5,n,n,n,87.5,n,n,n,46,n,n,n,17,n,n,n,0.6,n,n,n,222.3,n,n,n,41.9,n,n,n,20.6,n,n,n,25.6,n,n,n,1.3,n,n,n,303.2,n,n,n,112.6,n,n,n,68,n,n,n,40,n,n,n,1.6,n,n,n,236.4,n,n,n
2023-06-01 18:30:00,n,101.6,n,n,n,36,n,n,n,16,n,n,n,0.5,n,n,n,142.3,n,n,n,74.9,n,n,n,44,n,n,n,16,n,n,n,0.5,n,n,n,245.2,n,n,n,50.8,n,n,n,21.4,n,n,n,32,n,n,n,0.8,n,n,n,329.3,n,n,n,106.7,n,n,n,24,n,n,n,13,n,n,n,0.9,n,n,n,192,n,n,n
2023-06-01 19:30:00,n,60.6,n,n,n,45,n,n,n,11,n,n,n,0.4,n,n,n,294.9,n,n,n,45.2,n,n,n,29,n,n,n,9,n,n,n,0.4,n,n,n,250.8,n,n,n,37.5,n,n,n,15.5,n,n,n,19.7,n,n,n,0.8,n,n,n,334.1,n,n,n,64.6,n,n,n,20,n,n,n,11,n,n,n,0.7,n,n,n,189.3,n,n,n
2023-06-01 20:30:00,n,47.4,n,n,n,39,n,n,n,8,n,n,n,0.5,n,n,n,302.2,n,n,n,22.4,n,n,n,18,n,n,n,12,n,n,n,0.5,n,n,n,252.1,n,n,n,25.6,n,n,n,14.1,n,n,n,14.6,n,n,n,0.6,n,n,n,330.4,n,n,n,62.3,n,n,n,38,n,n,n,19,n,n,n,0.5,n,n,n,206.4,n,n,n
2023-06-01 21:30:00,n,23.8,n,n,n,22,n,n,n,6,n,n,n,0.5,n,n,n,293.1,n,n,n,14.1,n,n,n,11,n,n,n,12,n,n,n,0.5,n,n,n,223.8,n,n,n,23.9,n,n,n,14.8,n,n,n,12.3,n,n,n,0.6,n,n,n,332.7,n,n,n,96.8,n,n,n,63,n,n,n,30,n,n,n,0.5,n,n,n,288,n,n,n
2023-06-01 22:30:00,n,29.2,n,n,n,31,n,n,n,9,n,n,n,0.7,n,n,n,263.3,n,n,n,20.5,n,n,n,17,n,n,n,9,n,n,n,0.6,n,n,n,217.5,n,n,n,18.4,n,n,n,12.7,n,n,n,9.5,n,n,n,0.6,n,n,n,281.1,n,n,n,87.6,n,n,n,36,n,n,n,18,n,n,n,0.6,n,n,n,238.4,n,n,n
2023-06-01 23:30:00,n,29.5,n,n,n,18,n,n,n,6,n,n,n,0.5,n,n,n,175.6,n,n,n,14.7,n,n,n,11,n,n,n,6,n,n,n,0.5,n,n,n,202.6,n,n,n,14.8,n,n,n,11.2,n,n,n,9.2,n,n,n,0.5,n,n,n,283.5,n,n,n,45,n,n,n,27,n,n,n,9,n,n,n,0.7,n,n,n,185.5,n,n,n
2023-06-02 00:30:00,n,17.9,n,n,n,17,n,n,n,7,n,n,n,0.5,n,n,n,222.4,n,n,n,18.3,n,n,n,16,n,n,n,11,n,n,n,0.5,n,n,n,237,n,n,n,6.7,n,n,n,4.6,n,n,n,2.5,n,n,n,0.6,n,n,n,339.3,n,n,n,20.6,n,n,n,19,n,n,n,7,n,n,n,0.7,n,n,n,210.2,n,n,n
2023-06-02 01:30:00,n,23.1,n,n,n,20,n,n,n,8,n,n,n,0.4,n,n,n,171.4,n,n,n,11,n,n,n,13,n,n,n,9,n,n,n,0.5,n,n,n,214,n,n,n,9,n,n,n,7,n,n,n,4.6,n,n,n,0.5,n,n,n,118.6,n,n,n,25.4,n,n,n,16,n,n,n,8,n,n,n,0.7,n,n,n,243,n,n,n
2023-06-02 02:30:00,n,23,n,n,n,22,n,n,n,7,n,n,n,0.4,n,n,n,141.4,n,n,n,3.6,n,n,n,7,n,n,n,12,n,n,n,0.5,n,n,n,217.5,n,n,n,6.7,n,n,n,6,n,n,n,3.2,n,n,n,0.5,n,n,n,135.9,n,n,n,13.7,n,n,n,17,n,n,n,9,n,n,n,0.5,n,n,n,247.1,n,n,n
