n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2024-07-02 03:30:00,68,n,n,n,46,n,n,n,23,n,n,n,49.3,n,n,n,44,n,n,n,16,n,n,n,45,n,n,n,35,n,n,n,17,n,n,n,63,n,n,n,39,n,n,n,22,n,n,n
2024-07-02 04:30:00,55,n,n,n,35,n,n,n,19,n,n,n,42.5,n,n,n,35,n,n,n,17,n,n,n,36,n,n,n,31,n,n,n,13,n,n,n,56,n,n,n,40,n,n,n,20,n,n,n
2024-07-02 05:30:00,63,n,n,n,35,n,n,n,20,n,n,n,45.8,n,n,n,40,n,n,n,19,n,n,n,47,n,n,n,40,n,n,n,20,n,n,n,38,n,n,n,24,n,n,n,18,n,n,n
2024-07-02 06:30:00,72,n,n,n,36,n,n,n,19,n,n,n,77.8,n,n,n,61,n,n,n,25,n,n,n,64,n,n,n,41,n,n,n,16,n,n,n,n,n,n,n,29,n,n,n,n,n,n,n
2024-07-02 07:30:00,121,n,n,n,61,n,n,n,22,n,n,n,89.5,n,n,n,64,n,n,n,19,n,n,n,93,n,n,n,51,n,n,n,15,n,n,n,102,n,n,n,52,n,n,n,27,n,n,n
2024-07-02 08:30:00,85,n,n,n,57,n,n,n,23,n,n,n,212.9,n,n,n,152,n,n,n,28,n,n,n,113,n,n,n,68,n,n,n,21,n,n,n,n,n,n,n,50,n,n,n,19,n,n,n
2024-07-02 09:30:00,84,n,n,n,n,n,n,n,n,n,n,n,64.5,n,n,n,45,n,n,n,16,n,n,n,106,n,n,n,61,n,n,n,26,n,n,n,184,n,n,n,86,n,n,n,20,n,n,n
2024-07-02 10:30:00,76,n,n,n,35,n,n,n,16,n,n,n,49.7,n,n,n,41,n,n,n,16,n,n,n,60,n,n,n,38,n,n,n,15,n,n,n,65,n,n,n,41,n,n,n,23,n,n,n
2024-07-02 11:30:00,51,n,n,n,31,n,n,n,14,n,n,n,40.9,n,n,n,35,n,n,n,13,n,n,n,41,n,n,n,35,n,n,n,14,n,n,n,60,n,n,n,31,n,n,n,14,n,n,n
2024-07-02 12:00:00,n,n,87.5,VM,n,n,50.3,VM,n,n,18.9,VM,n,n,59.2,VM,n,n,47.5,VM,n,n,17.4,VM,n,n,68.5,VM,n,n,44.8,VM,n,n,18.8,VM,n,n,87.5,VM,n,n,47.1,VM,n,n,23.2,VM
