n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-09-01 18:30:00,49.4,n,n,n,40,n,n,n,16,n,n,n,60.5,n,n,n,30,n,n,n,11,n,n,n,47,n,n,n,25.7,n,n,n,9.9,n,n,n,40.8,n,n,n,14,n,n,n,5,n,n,n
2023-09-01 19:30:00,90,n,n,n,48,n,n,n,16,n,n,n,59.8,n,n,n,28,n,n,n,12,n,n,n,38.6,n,n,n,24.3,n,n,n,10.2,n,n,n,44,n,n,n,22,n,n,n,11,n,n,n
2023-09-01 20:30:00,105.4,n,n,n,48,n,n,n,18,n,n,n,52,n,n,n,24,n,n,n,13,n,n,n,36.3,n,n,n,22.6,n,n,n,10.1,n,n,n,37.5,n,n,n,19,n,n,n,8,n,n,n
2023-09-01 21:30:00,56.3,n,n,n,23,n,n,n,14,n,n,n,42,n,n,n,27,n,n,n,13,n,n,n,32.1,n,n,n,21.7,n,n,n,9.3,n,n,n,28.6,n,n,n,12,n,n,n,6,n,n,n
2023-09-01 22:30:00,45.4,n,n,n,28,n,n,n,12,n,n,n,34.3,n,n,n,18,n,n,n,12,n,n,n,35.3,n,n,n,20.9,n,n,n,9.1,n,n,n,23.6,n,n,n,18,n,n,n,5,n,n,n
2023-09-01 23:30:00,39.2,n,n,n,24,n,n,n,12,n,n,n,35.2,n,n,n,20,n,n,n,11,n,n,n,43.5,n,n,n,24.2,n,n,n,10.9,n,n,n,21,n,n,n,13,n,n,n,6,n,n,n
2023-09-02 00:30:00,38.1,n,n,n,25,n,n,n,13,n,n,n,34,n,n,n,22,n,n,n,11,n,n,n,31,n,n,n,21.2,n,n,n,8.2,n,n,n,21.9,n,n,n,12,n,n,n,6,n,n,n
2023-09-02 01:30:00,38.1,n,n,n,23,n,n,n,9,n,n,n,22.4,n,n,n,17,n,n,n,11,n,n,n,23.9,n,n,n,17.6,n,n,n,6.9,n,n,n,21.8,n,n,n,13,n,n,n,5,n,n,n
2023-09-02 02:30:00,33.3,n,n,n,17,n,n,n,6,n,n,n,23.1,n,n,n,16,n,n,n,11,n,n,n,21.3,n,n,n,16,n,n,n,6,n,n,n,22.8,n,n,n,14,n,n,n,5,n,n,n
2023-09-02 03:30:00,36.5,n,n,n,30,n,n,n,12,n,n,n,21.9,n,n,n,12,n,n,n,12,n,n,n,21.3,n,n,n,16.5,n,n,n,6.5,n,n,n,21.5,n,n,n,16,n,n,n,7,n,n,n
2023-09-02 04:30:00,34.4,n,n,n,22,n,n,n,9,n,n,n,21,n,n,n,11,n,n,n,7,n,n,n,21.8,n,n,n,16.6,n,n,n,6.4,n,n,n,20.4,n,n,n,13,n,n,n,7,n,n,n
2023-09-02 05:30:00,41.3,n,n,n,23,n,n,n,13,n,n,n,29,n,n,n,13,n,n,n,8,n,n,n,25.4,n,n,n,17.6,n,n,n,6.7,n,n,n,21.5,n,n,n,19,n,n,n,6,n,n,n
2023-09-02 06:30:00,43.7,n,n,n,30,n,n,n,8,n,n,n,41.8,n,n,n,24,n,n,n,9,n,n,n,29.9,n,n,n,18.9,n,n,n,6.1,n,n,n,24.3,n,n,n,18,n,n,n,7,n,n,n
2023-09-02 07:30:00,39.3,n,n,n,24,n,n,n,7,n,n,n,32.4,n,n,n,19,n,n,n,17,n,n,n,43,n,n,n,23.7,n,n,n,8,n,n,n,24.5,n,n,n,12,n,n,n,5,n,n,n
2023-09-02 08:30:00,39.3,n,n,n,23,n,n,n,12,n,n,n,31.7,n,n,n,18,n,n,n,13,n,n,n,37.6,n,n,n,25,n,n,n,8.4,n,n,n,21.2,n,n,n,18,n,n,n,3,n,n,n
2023-09-02 09:30:00,34.2,n,n,n,22,n,n,n,13,n,n,n,26.1,n,n,n,19,n,n,n,11,n,n,n,28,n,n,n,15.8,n,n,n,3.8,n,n,n,22.2,n,n,n,16,n,n,n,5,n,n,n
2023-09-02 10:30:00,25.5,n,n,n,19,n,n,n,8,n,n,n,21.7,n,n,n,12,n,n,n,8,n,n,n,24.5,n,n,n,15.1,n,n,n,4.1,n,n,n,24.2,n,n,n,14,n,n,n,5,n,n,n
2023-09-02 11:30:00,32.8,n,n,n,17,n,n,n,6,n,n,n,18.7,n,n,n,9,n,n,n,7,n,n,n,18.4,n,n,n,12.2,n,n,n,2.2,n,n,n,13.5,n,n,n,11,n,n,n,3,n,n,n
2023-09-02 12:00:00,n,n,35.2,VM,n,n,20.8,VM,n,n,9.2,VM,n,n,27.3,VM,n,n,14,VM,n,n,8.8,VM,n,n,31.2,VM,n,n,18.3,VM,n,n,6.5,VM,n,n,19.7,VM,n,n,11.6,VM,n,n,5.2,VM
2023-09-02 12:30:00,28.6,n,n,n,16,n,n,n,2,n,n,n,15.6,n,n,n,9,n,n,n,7,n,n,n,22.9,n,n,n,10.1,n,n,n,0.7,n,n,n,6.5,n,n,n,8,n,n,n,3,n,n,n
2023-09-02 13:30:00,27,n,n,n,17,n,n,n,3,n,n,n,16.7,n,n,n,7,n,n,n,5,n,n,n,37.2,n,n,n,14.4,n,n,n,2.5,n,n,n,10.7,n,n,n,9,n,n,n,7,n,n,n
2023-09-02 14:30:00,22.9,n,n,n,11,n,n,n,3,n,n,n,16,n,n,n,7,n,n,n,7,n,n,n,16.2,n,n,n,10.8,n,n,n,1.2,n,n,n,7.2,n,n,n,6,n,n,n,6,n,n,n
2023-09-02 15:30:00,22.2,n,n,n,12,n,n,n,7,n,n,n,36,n,n,n,7,n,n,n,7,n,n,n,21.5,n,n,n,10.4,n,n,n,1.6,n,n,n,5.3,n,n,n,3,n,n,n,3,n,n,n
2023-09-02 16:30:00,40.9,n,n,n,20,n,n,n,9,n,n,n,25.4,n,n,n,8,n,n,n,6,n,n,n,24.9,n,n,n,14.6,n,n,n,4.6,n,n,n,11.7,n,n,n,5,n,n,n,2,n,n,n
2023-09-02 17:30:00,51.9,n,n,n,25,n,n,n,12,n,n,n,32.4,n,n,n,11,n,n,n,5,n,n,n,31,n,n,n,18,n,n,n,5.5,n,n,n,19,n,n,n,3,n,n,n,2,n,n,n
2023-09-02 18:30:00,38.6,n,n,n,18,n,n,n,12,n,n,n,37.2,n,n,n,14,n,n,n,8,n,n,n,35.4,n,n,n,20.5,n,n,n,8.3,n,n,n,29.3,n,n,n,11,n,n,n,2,n,n,n
2023-09-02 19:30:00,32.3,n,n,n,18,n,n,n,11,n,n,n,30.6,n,n,n,13,n,n,n,8,n,n,n,38.1,n,n,n,20.3,n,n,n,8.9,n,n,n,32,n,n,n,18,n,n,n,6,n,n,n
2023-09-02 20:30:00,46.8,n,n,n,31,n,n,n,12,n,n,n,31.4,n,n,n,19,n,n,n,7,n,n,n,52.4,n,n,n,25,n,n,n,11.7,n,n,n,30.9,n,n,n,8,n,n,n,8,n,n,n
2023-09-02 21:30:00,37.9,n,n,n,19,n,n,n,11,n,n,n,38.8,n,n,n,20,n,n,n,11,n,n,n,58.9,n,n,n,24.3,n,n,n,9.4,n,n,n,27.5,n,n,n,14,n,n,n,8,n,n,n
2023-09-02 22:30:00,30.8,n,n,n,16,n,n,n,11,n,n,n,31.3,n,n,n,16,n,n,n,7,n,n,n,49.4,n,n,n,29.2,n,n,n,15.4,n,n,n,18.9,n,n,n,8,n,n,n,8,n,n,n
