n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-05-01 18:30:00,23.9,n,n,n,22,n,n,n,1,n,n,n,25.9,n,n,n,17,n,n,n,3,n,n,n,10.2,n,n,n,2.2,n,n,n,4.9,n,n,n,15.3,n,n,n,17,n,n,n,7,n,n,n
2023-05-01 19:30:00,34,n,n,n,16,n,n,n,7,n,n,n,25.1,n,n,n,18,n,n,n,3,n,n,n,22,n,n,n,3.7,n,n,n,6.7,n,n,n,18.4,n,n,n,18,n,n,n,8,n,n,n
2023-05-01 20:30:00,30.8,n,n,n,23,n,n,n,6,n,n,n,20.3,n,n,n,14,n,n,n,11,n,n,n,18.7,n,n,n,6.4,n,n,n,4.5,n,n,n,40.6,n,n,n,23,n,n,n,12,n,n,n
2023-05-01 21:30:00,26.4,n,n,n,16,n,n,n,2,n,n,n,16,n,n,n,14,n,n,n,11,n,n,n,16.9,n,n,n,3.1,n,n,n,3.1,n,n,n,31,n,n,n,17,n,n,n,7,n,n,n
2023-05-01 22:30:00,29.9,n,n,n,25,n,n,n,6,n,n,n,24.1,n,n,n,19,n,n,n,6,n,n,n,14.4,n,n,n,5.7,n,n,n,2.1,n,n,n,32.4,n,n,n,23,n,n,n,7,n,n,n
2023-05-01 23:30:00,37.9,n,n,n,24,n,n,n,6,n,n,n,30.2,n,n,n,22,n,n,n,6,n,n,n,14.7,n,n,n,5.8,n,n,n,2.3,n,n,n,24.9,n,n,n,14,n,n,n,5,n,n,n
2023-05-02 00:30:00,29.5,n,n,n,16,n,n,n,n,n,n,n,22.4,n,n,n,18,n,n,n,5,n,n,n,12.9,n,n,n,5.8,n,n,n,2.5,n,n,n,14.7,n,n,n,8,n,n,n,5,n,n,n
2023-05-02 01:30:00,23.9,n,n,n,14,n,n,n,3,n,n,n,21.1,n,n,n,19,n,n,n,5,n,n,n,11.4,n,n,n,5.9,n,n,n,1.7,n,n,n,15.9,n,n,n,17,n,n,n,5,n,n,n
2023-05-02 02:30:00,26.1,n,n,n,22,n,n,n,5,n,n,n,28,n,n,n,19,n,n,n,6,n,n,n,12.2,n,n,n,4.9,n,n,n,1.3,n,n,n,25.1,n,n,n,16,n,n,n,5,n,n,n
2023-05-02 03:30:00,32.5,n,n,n,20,n,n,n,6,n,n,n,22.6,n,n,n,17,n,n,n,9,n,n,n,13.3,n,n,n,5.1,n,n,n,2.2,n,n,n,22.7,n,n,n,24,n,n,n,6,n,n,n
2023-05-02 04:30:00,31.6,n,n,n,25,n,n,n,6,n,n,n,32.6,n,n,n,22,n,n,n,8,n,n,n,14.5,n,n,n,5.6,n,n,n,3.1,n,n,n,33.8,n,n,n,23,n,n,n,7,n,n,n
2023-05-02 05:30:00,43.8,n,n,n,24,n,n,n,7,n,n,n,30.5,n,n,n,24,n,n,n,5,n,n,n,35.4,n,n,n,9.9,n,n,n,7.5,n,n,n,31.3,n,n,n,22,n,n,n,8,n,n,n
2023-05-02 06:30:00,50.1,n,n,n,36,n,n,n,5,n,n,n,87,n,n,n,n,n,n,n,9,n,n,n,28.1,n,n,n,11.2,n,n,n,7.7,n,n,n,45.3,n,n,n,28,n,n,n,8,n,n,n
2023-05-02 07:30:00,64.1,n,n,n,39,n,n,n,12,n,n,n,81.7,n,n,n,53,n,n,n,18,n,n,n,29.8,n,n,n,33,n,n,n,12,n,n,n,65.4,n,n,n,38,n,n,n,7,n,n,n
2023-05-02 08:30:00,69.5,n,n,n,46,n,n,n,11,n,n,n,74.6,n,n,n,47,n,n,n,13,n,n,n,24.5,n,n,n,32.8,n,n,n,17.3,n,n,n,69.2,n,n,n,33,n,n,n,6,n,n,n
2023-05-02 09:30:00,60.7,n,n,n,28,n,n,n,6,n,n,n,44.3,n,n,n,23,n,n,n,12,n,n,n,23.7,n,n,n,21.4,n,n,n,13.2,n,n,n,43,n,n,n,13,n,n,n,6,n,n,n
2023-05-02 10:30:00,27.8,n,n,n,17,n,n,n,5,n,n,n,34,n,n,n,14,n,n,n,7,n,n,n,10.8,n,n,n,10.8,n,n,n,5.4,n,n,n,28.3,n,n,n,8,n,n,n,5,n,n,n
2023-05-02 11:30:00,36.7,n,n,n,20,n,n,n,3,n,n,n,30.7,n,n,n,n,n,n,n,6,n,n,n,5.1,n,n,n,8.5,n,n,n,5.1,n,n,n,33.7,n,n,n,8,n,n,n,5,n,n,n
2023-05-02 12:00:00,n,n,51.1,VM,n,n,28.9,VM,n,n,6.3,VM,n,n,41.1,VM,n,n,24,VM,n,n,7.8,VM,n,n,21.1,VM,n,n,11.7,VM,n,n,8,VM,n,n,36,VM,n,n,17.9,VM,n,n,5.5,VM
2023-05-02 12:30:00,37.5,n,n,n,16,n,n,n,5,n,n,n,24,n,n,n,8,n,n,n,5,n,n,n,13.1,n,n,n,10.4,n,n,n,5.4,n,n,n,30.5,n,n,n,14,n,n,n,3,n,n,n
2023-05-02 13:30:00,56.9,n,n,n,25,n,n,n,6,n,n,n,40.7,n,n,n,18,n,n,n,6,n,n,n,8.9,n,n,n,11.3,n,n,n,5.8,n,n,n,26.3,n,n,n,11,n,n,n,5,n,n,n
2023-05-02 14:30:00,78.1,n,n,n,33,n,n,n,5,n,n,n,52.1,n,n,n,31,n,n,n,8,n,n,n,16.7,n,n,n,8.2,n,n,n,6.3,n,n,n,26,n,n,n,17,n,n,n,6,n,n,n
2023-05-02 15:30:00,73.7,n,n,n,36,n,n,n,5,n,n,n,49.3,n,n,n,27,n,n,n,8,n,n,n,27.6,n,n,n,10.5,n,n,n,10.6,n,n,n,39.3,n,n,n,24,n,n,n,3,n,n,n
2023-05-02 16:30:00,98.5,n,n,n,62,n,n,n,8,n,n,n,78.3,n,n,n,48,n,n,n,9,n,n,n,35.4,n,n,n,13.2,n,n,n,11.6,n,n,n,37,n,n,n,13,n,n,n,3,n,n,n
2023-05-02 17:30:00,118.8,n,n,n,51,n,n,n,7,n,n,n,61.6,n,n,n,39,n,n,n,12,n,n,n,52.7,n,n,n,12.6,n,n,n,20.2,n,n,n,62.4,n,n,n,30,n,n,n,3,n,n,n
2023-05-02 18:30:00,87.7,n,n,n,48,n,n,n,11,n,n,n,53.6,n,n,n,29,n,n,n,7,n,n,n,54.3,n,n,n,12.9,n,n,n,19.2,n,n,n,56,n,n,n,17,n,n,n,5,n,n,n
2023-05-02 19:30:00,65.3,n,n,n,40,n,n,n,8,n,n,n,44.6,n,n,n,25,n,n,n,8,n,n,n,33.7,n,n,n,13.2,n,n,n,13.3,n,n,n,42.8,n,n,n,16,n,n,n,5,n,n,n
2023-05-02 20:30:00,44.2,n,n,n,24,n,n,n,7,n,n,n,26.1,n,n,n,13,n,n,n,5,n,n,n,15.2,n,n,n,16.3,n,n,n,8.4,n,n,n,46.8,n,n,n,22,n,n,n,7,n,n,n
2023-05-02 21:30:00,26.8,n,n,n,16,n,n,n,5,n,n,n,18.9,n,n,n,12,n,n,n,5,n,n,n,10.8,n,n,n,n,n,n,n,5.1,n,n,n,33.4,n,n,n,5,n,n,n,8,n,n,n
2023-05-02 22:30:00,20.3,n,n,n,18,n,n,n,3,n,n,n,14.7,n,n,n,12,n,n,n,3,n,n,n,9.2,n,n,n,1.3,n,n,n,4.1,n,n,n,17.7,n,n,n,11,n,n,n,6,n,n,n
2023-05-02 23:30:00,22.8,n,n,n,17,n,n,n,6,n,n,n,14.2,n,n,n,11,n,n,n,7,n,n,n,7.1,n,n,n,5,n,n,n,2.9,n,n,n,18.3,n,n,n,11,n,n,n,5,n,n,n
2023-05-03 00:30:00,22,n,n,n,13,n,n,n,6,n,n,n,14.6,n,n,n,24,n,n,n,12,n,n,n,7.5,n,n,n,2.2,n,n,n,1.2,n,n,n,19.8,n,n,n,24,n,n,n,12,n,n,n
2023-05-03 01:30:00,19.4,n,n,n,19,n,n,n,6,n,n,n,18.5,n,n,n,14,n,n,n,11,n,n,n,10.2,n,n,n,2.1,n,n,n,n,n,n,n,25.5,n,n,n,22,n,n,n,11,n,n,n
2023-05-03 02:30:00,25.4,n,n,n,19,n,n,n,7,n,n,n,20,n,n,n,18,n,n,n,11,n,n,n,8.8,n,n,n,4.2,n,n,n,1.6,n,n,n,27.8,n,n,n,20,n,n,n,9,n,n,n
2023-05-03 03:30:00,29.3,n,n,n,18,n,n,n,6,n,n,n,22.7,n,n,n,19,n,n,n,8,n,n,n,7,n,n,n,5.2,n,n,n,2.2,n,n,n,27,n,n,n,14,n,n,n,6,n,n,n
2023-05-03 04:30:00,50.4,n,n,n,8,n,n,n,7,n,n,n,28,n,n,n,27,n,n,n,8,n,n,n,10.6,n,n,n,9.6,n,n,n,3.1,n,n,n,30.3,n,n,n,13,n,n,n,7,n,n,n
2023-05-03 05:30:00,68,n,n,n,9,n,n,n,7,n,n,n,38.9,n,n,n,24,n,n,n,11,n,n,n,16.7,n,n,n,7.6,n,n,n,4.2,n,n,n,32.5,n,n,n,9,n,n,n,9,n,n,n
2023-05-03 06:30:00,40.5,n,n,n,17,n,n,n,12,n,n,n,54.1,n,n,n,38,n,n,n,12,n,n,n,29.4,n,n,n,8.4,n,n,n,5.7,n,n,n,32.7,n,n,n,29,n,n,n,9,n,n,n
2023-05-03 07:30:00,44.6,n,n,n,23,n,n,n,9,n,n,n,53.7,n,n,n,28,n,n,n,13,n,n,n,23.5,n,n,n,15.1,n,n,n,8.6,n,n,n,34.1,n,n,n,17,n,n,n,7,n,n,n
2023-05-03 08:30:00,36.4,n,n,n,19,n,n,n,9,n,n,n,44.9,n,n,n,28,n,n,n,12,n,n,n,25,n,n,n,37.9,n,n,n,12.3,n,n,n,28.7,n,n,n,19,n,n,n,7,n,n,n
2023-05-03 09:30:00,38.9,n,n,n,19,n,n,n,9,n,n,n,33.1,n,n,n,18,n,n,n,8,n,n,n,16,n,n,n,20.7,n,n,n,11,n,n,n,46.8,n,n,n,17,n,n,n,6,n,n,n
2023-05-03 10:30:00,28.7,n,n,n,16,n,n,n,6,n,n,n,17.6,n,n,n,9,n,n,n,6,n,n,n,11.2,n,n,n,12.7,n,n,n,6.4,n,n,n,32.2,n,n,n,16,n,n,n,5,n,n,n
2023-05-03 11:30:00,32.9,n,n,n,16,n,n,n,3,n,n,n,23.6,n,n,n,14,n,n,n,5,n,n,n,2.6,n,n,n,9.2,n,n,n,4.4,n,n,n,25.3,n,n,n,16,n,n,n,5,n,n,n
2023-05-03 12:00:00,n,n,55.9,VM,n,n,30,VM,n,n,9.8,VM,n,n,35.7,VM,n,n,23.8,VM,n,n,10.1,VM,n,n,19.3,VM,n,n,11.2,VM,n,n,8.4,VM,n,n,37,VM,n,n,19.2,VM,n,n,8.3,VM
2023-05-03 12:30:00,100.9,n,n,n,53,n,n,n,19,n,n,n,24.1,n,n,n,16,n,n,n,7,n,n,n,10.1,n,n,n,10.3,n,n,n,5.2,n,n,n,22,n,n,n,16,n,n,n,3,n,n,n
2023-05-03 13:30:00,43,n,n,n,23,n,n,n,7,n,n,n,27.3,n,n,n,20,n,n,n,9,n,n,n,10.2,n,n,n,10.6,n,n,n,6.2,n,n,n,21.4,n,n,n,14,n,n,n,8,n,n,n
2023-05-03 14:30:00,82.9,n,n,n,74,n,n,n,9,n,n,n,21.1,n,n,n,16,n,n,n,n,n,n,n,12.7,n,n,n,12.3,n,n,n,8.5,n,n,n,29.5,n,n,n,18,n,n,n,8,n,n,n
2023-05-03 15:30:00,64.8,n,n,n,20,n,n,n,6,n,n,n,21.7,n,n,n,17,n,n,n,8,n,n,n,10.8,n,n,n,9.9,n,n,n,6.9,n,n,n,21.6,n,n,n,12,n,n,n,6,n,n,n
2023-05-03 16:30:00,66.6,n,n,n,24,n,n,n,9,n,n,n,52.9,n,n,n,23,n,n,n,12,n,n,n,23.6,n,n,n,8.8,n,n,n,10,n,n,n,38.4,n,n,n,9,n,n,n,5,n,n,n
2023-05-03 17:30:00,97.4,n,n,n,73,n,n,n,14,n,n,n,68.9,n,n,n,35,n,n,n,7,n,n,n,54.8,n,n,n,15,n,n,n,25.1,n,n,n,43.8,n,n,n,14,n,n,n,5,n,n,n
2023-05-03 18:30:00,123.7,n,n,n,55,n,n,n,12,n,n,n,51.5,n,n,n,30,n,n,n,12,n,n,n,47.5,n,n,n,16.4,n,n,n,20.5,n,n,n,60.8,n,n,n,24,n,n,n,14,n,n,n
2023-05-03 19:30:00,65.5,n,n,n,36,n,n,n,13,n,n,n,43.5,n,n,n,27,n,n,n,11,n,n,n,33.4,n,n,n,12.4,n,n,n,14.2,n,n,n,53.9,n,n,n,17,n,n,n,8,n,n,n
2023-05-03 20:30:00,61.4,n,n,n,47,n,n,n,14,n,n,n,37.2,n,n,n,23,n,n,n,13,n,n,n,26.6,n,n,n,9.6,n,n,n,10.4,n,n,n,58.7,n,n,n,39,n,n,n,9,n,n,n
2023-05-03 21:30:00,60.9,n,n,n,38,n,n,n,12,n,n,n,38.5,n,n,n,28,n,n,n,12,n,n,n,23.5,n,n,n,8.8,n,n,n,9.6,n,n,n,68.8,n,n,n,28,n,n,n,14,n,n,n
2023-05-03 22:30:00,72.3,n,n,n,46,n,n,n,17,n,n,n,54.6,n,n,n,40,n,n,n,16,n,n,n,22.3,n,n,n,11.2,n,n,n,9.7,n,n,n,53.8,n,n,n,25,n,n,n,16,n,n,n
2023-05-03 23:30:00,65.7,n,n,n,35,n,n,n,16,n,n,n,44.7,n,n,n,35,n,n,n,9,n,n,n,20.2,n,n,n,7.6,n,n,n,7.4,n,n,n,51.7,n,n,n,29,n,n,n,11,n,n,n
2023-05-04 00:30:00,57,n,n,n,39,n,n,n,17,n,n,n,42.1,n,n,n,34,n,n,n,14,n,n,n,17.1,n,n,n,8.3,n,n,n,7.4,n,n,n,50.5,n,n,n,29,n,n,n,8,n,n,n
2023-05-04 01:30:00,51.4,n,n,n,29,n,n,n,8,n,n,n,41.7,n,n,n,33,n,n,n,12,n,n,n,17.1,n,n,n,7.6,n,n,n,6.4,n,n,n,47.2,n,n,n,25,n,n,n,14,n,n,n
