n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-04-01 22:30:00,88.2,n,n,n,52,n,n,n,25,n,n,n,65.9,n,n,n,59,n,n,n,19,n,n,n,36.2,n,n,n,22.1,n,n,n,19.5,n,n,n,80,n,n,n,52,n,n,n,22,n,n,n
2023-04-01 23:30:00,71.9,n,n,n,48,n,n,n,23,n,n,n,59.7,n,n,n,48,n,n,n,20,n,n,n,34.4,n,n,n,19.7,n,n,n,16.4,n,n,n,82.6,n,n,n,56,n,n,n,22,n,n,n
2023-04-02 00:30:00,57.6,n,n,n,38,n,n,n,16,n,n,n,42.8,n,n,n,34,n,n,n,17,n,n,n,28.9,n,n,n,14.7,n,n,n,13.7,n,n,n,68,n,n,n,44,n,n,n,24,n,n,n
2023-04-02 01:30:00,56.1,n,n,n,45,n,n,n,16,n,n,n,46.3,n,n,n,34,n,n,n,14,n,n,n,25.7,n,n,n,12.1,n,n,n,11.3,n,n,n,52.9,n,n,n,39,n,n,n,18,n,n,n
2023-04-02 02:30:00,60.8,n,n,n,34,n,n,n,19,n,n,n,43.8,n,n,n,38,n,n,n,20,n,n,n,24.6,n,n,n,13.5,n,n,n,11.6,n,n,n,42.5,n,n,n,31,n,n,n,12,n,n,n
2023-04-02 03:30:00,51,n,n,n,35,n,n,n,25,n,n,n,25.1,n,n,n,20,n,n,n,13,n,n,n,22.1,n,n,n,13,n,n,n,11,n,n,n,47.1,n,n,n,25,n,n,n,19,n,n,n
2023-04-02 04:30:00,36.9,n,n,n,24,n,n,n,12,n,n,n,29.7,n,n,n,23,n,n,n,12,n,n,n,23.5,n,n,n,9.9,n,n,n,9.8,n,n,n,36.4,n,n,n,23,n,n,n,16,n,n,n
2023-04-02 05:30:00,32.9,n,n,n,20,n,n,n,9,n,n,n,30.7,n,n,n,25,n,n,n,12,n,n,n,24.7,n,n,n,10.4,n,n,n,9.1,n,n,n,28.5,n,n,n,19,n,n,n,13,n,n,n
2023-04-02 06:30:00,29.3,n,n,n,14,n,n,n,12,n,n,n,26.6,n,n,n,20,n,n,n,11,n,n,n,26.4,n,n,n,19,n,n,n,11.8,n,n,n,23,n,n,n,16,n,n,n,13,n,n,n
2023-04-02 07:30:00,32.4,n,n,n,22,n,n,n,14,n,n,n,27.9,n,n,n,19,n,n,n,8,n,n,n,23.7,n,n,n,19.2,n,n,n,11,n,n,n,33.6,n,n,n,23,n,n,n,19,n,n,n
2023-04-02 08:30:00,32.2,n,n,n,20,n,n,n,13,n,n,n,35,n,n,n,29,n,n,n,12,n,n,n,32.2,n,n,n,16.5,n,n,n,11.5,n,n,n,36.2,n,n,n,20,n,n,n,13,n,n,n
2023-04-02 09:30:00,33.8,n,n,n,20,n,n,n,12,n,n,n,36.2,n,n,n,29,n,n,n,11,n,n,n,20.4,n,n,n,16.7,n,n,n,12.4,n,n,n,36.2,n,n,n,20,n,n,n,13,n,n,n
2023-04-02 10:30:00,30,n,n,n,20,n,n,n,13,n,n,n,27.4,n,n,n,24,n,n,n,n,n,n,n,12.6,n,n,n,11.8,n,n,n,9.4,n,n,n,30.9,n,n,n,25,n,n,n,11,n,n,n
2023-04-02 11:30:00,26.7,n,n,n,23,n,n,n,11,n,n,n,27.8,n,n,n,25,n,n,n,n,n,n,n,15,n,n,n,11.8,n,n,n,8.5,n,n,n,26,n,n,n,14,n,n,n,6,n,n,n
