Data de Medição,VALE - ITABIRA,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
2025-03-02 00:30:00,45,n,n,n,20,n,n,n,9,n,n,n,48,n,n,n,18,n,n,n,9,n,n,n,43,n,n,n,29,n,n,n,16,n,n,n,13,n,n,n,4985,IE,n,n,3,n,n,n
2025-03-02 01:30:00,75,n,n,n,24,n,n,n,16,n,n,n,29,n,n,n,13,n,n,n,9,n,n,n,31,n,n,n,24,n,n,n,17,n,n,n,16,n,n,n,4985,IE,n,n,3,n,n,n
2025-03-02 02:30:00,101,n,n,n,34,n,n,n,12,n,n,n,37,n,n,n,14,n,n,n,9,n,n,n,21,n,n,n,20,n,n,n,10,n,n,n,13,n,n,n,4985,IE,n,n,6,n,n,n
2025-03-02 03:30:00,15,n,n,n,10,n,n,n,8,n,n,n,26,n,n,n,7,n,n,n,11,n,n,n,16,n,n,n,18,n,n,n,15,n,n,n,16,n,n,n,4985,IE,n,n,9,n,n,n
2025-03-02 04:30:00,9,n,n,n,10,n,n,n,9,n,n,n,28,n,n,n,13,n,n,n,9,n,n,n,23,n,n,n,20,n,n,n,15,n,n,n,17,n,n,n,4985,IE,n,n,11,n,n,n
2025-03-02 05:30:00,27,n,n,n,20,n,n,n,8,n,n,n,38,n,n,n,16,n,n,n,7,n,n,n,21,n,n,n,17,n,n,n,9,n,n,n,24,n,n,n,4985,IE,n,n,9,n,n,n
2025-03-02 06:30:00,57,n,n,n,28,n,n,n,9,n,n,n,54,n,n,n,19,n,n,n,12,n,n,n,30,n,n,n,17,n,n,n,15,n,n,n,34,n,n,n,4985,IE,n,n,12,n,n,n
2025-03-02 07:30:00,25,n,n,n,17,n,n,n,12,n,n,n,40,n,n,n,12,n,n,n,11,n,n,n,27,n,n,n,25,n,n,n,12,n,n,n,25,n,n,n,4985,IE,n,n,12,n,n,n
2025-03-02 08:30:00,23,n,n,n,23,n,n,n,16,n,n,n,33,n,n,n,13,n,n,n,11,n,n,n,19,n,n,n,18,n,n,n,13,n,n,n,18,n,n,n,4985,IE,n,n,13,n,n,n
2025-03-02 09:30:00,14,n,n,n,7,n,n,n,16,n,n,n,39,n,n,n,16,n,n,n,7,n,n,n,19,n,n,n,9,n,n,n,9,n,n,n,17,n,n,n,4985,IE,n,n,9,n,n,n
2025-03-02 10:30:00,18,n,n,n,17,n,n,n,14,n,n,n,36,n,n,n,12,n,n,n,9,n,n,n,18,n,n,n,16,n,n,n,7,n,n,n,18,n,n,n,4985,IE,n,n,8,n,n,n
2025-03-02 11:30:00,13,n,n,n,7,n,n,n,3,n,n,n,37,n,n,n,13,n,n,n,11,n,n,n,16,n,n,n,16,n,n,n,7,n,n,n,16,n,n,n,4985,IE,n,n,8,n,n,n
2025-03-02 12:00:00,n,n,31.5,VM,n,n,17,VM,n,n,10.7,VM,n,n,37.8,VM,n,n,12.5,VM,n,n,9.1,VM,n,n,28.4,VM,n,n,20.5,VM,n,n,11.4,VM,n,n,18.3,VM,n,n,n,n,n,n,9.1,VM
2025-03-02 12:30:00,14,n,n,n,11,n,n,n,12,n,n,n,35,n,n,n,12,n,n,n,11,n,n,n,20,n,n,n,11,n,n,n,7,n,n,n,11,n,n,n,4985,IE,n,n,13,n,n,n
2025-03-02 13:30:00,15,n,n,n,8,n,n,n,9,n,n,n,29,n,n,n,8,n,n,n,8,n,n,n,20,n,n,n,14,n,n,n,6,n,n,n,12,n,n,n,4985,IE,n,n,11,n,n,n
2025-03-02 14:30:00,14,n,n,n,16,n,n,n,12,n,n,n,36,n,n,n,13,n,n,n,8,n,n,n,25,n,n,n,17,n,n,n,12,n,n,n,16,n,n,n,4985,IE,n,n,11,n,n,n
