n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2022-10-02 07:30:00,34.6,n,n,n,9.3,n,n,n,8.2,n,n,n,16.9,n,n,n,17,n,n,n,5,n,n,n,24.7,n,n,n,12.5,n,n,n,4.6,n,n,n,32.5,n,n,n,16,n,n,n,7,n,n,n
2022-10-02 08:30:00,29.9,n,n,n,8.6,n,n,n,6.9,n,n,n,18.5,n,n,n,29,n,n,n,5,n,n,n,27.3,n,n,n,16.4,n,n,n,6.9,n,n,n,30.5,n,n,n,24,n,n,n,7,n,n,n
2022-10-02 09:30:00,25.3,n,n,n,7.7,n,n,n,6.5,n,n,n,18,n,n,n,14,n,n,n,7,n,n,n,29.8,n,n,n,15,n,n,n,5.4,n,n,n,31,n,n,n,18,n,n,n,6,n,n,n
2022-10-02 10:30:00,28.3,n,n,n,5.3,n,n,n,3.8,n,n,n,21.1,n,n,n,18,n,n,n,5,n,n,n,30.8,n,n,n,15.2,n,n,n,5.3,n,n,n,29.4,n,n,n,19,n,n,n,7,n,n,n
2022-10-02 11:30:00,24.8,n,n,n,8.8,n,n,n,7.5,n,n,n,18.8,n,n,n,20,n,n,n,3,n,n,n,31.5,n,n,n,15.4,n,n,n,5.2,n,n,n,29,n,n,n,24,n,n,n,6,n,n,n
2022-10-02 12:00:00,n,n,37.3,VM,n,n,11.7,VM,n,n,10.1,VM,n,n,21.5,VM,n,n,21,VM,n,n,8,VM,n,n,44.6,VM,n,n,18.1,VM,n,n,7.4,VM,n,n,37.2,VM,n,n,21.9,VM,n,n,8.5,VM
2022-10-02 12:30:00,30.8,n,n,n,12,n,n,n,10.9,n,n,n,23.8,n,n,n,18,n,n,n,3,n,n,n,33,n,n,n,15.8,n,n,n,5.7,n,n,n,28.1,n,n,n,16,n,n,n,7,n,n,n
2022-10-02 13:30:00,31,n,n,n,14.9,n,n,n,13.2,n,n,n,23.5,n,n,n,16,n,n,n,3,n,n,n,34.3,n,n,n,13.6,n,n,n,3.9,n,n,n,27.7,n,n,n,17,n,n,n,9,n,n,n
2022-10-02 14:30:00,25,n,n,n,11,n,n,n,10,n,n,n,21.3,n,n,n,13,n,n,n,9,n,n,n,31.2,n,n,n,12.9,n,n,n,3.9,n,n,n,25.6,n,n,n,19,n,n,n,12,n,n,n
2022-10-02 15:30:00,21,n,n,n,19,n,n,n,17,n,n,n,22.4,n,n,n,17,n,n,n,17,n,n,n,25.3,n,n,n,12.5,n,n,n,4,n,n,n,25.8,n,n,n,19,n,n,n,9,n,n,n
2022-10-02 16:30:00,24,n,n,n,21,n,n,n,18,n,n,n,31.3,n,n,n,19,n,n,n,7,n,n,n,52,n,n,n,20.3,n,n,n,9,n,n,n,36,n,n,n,22,n,n,n,9,n,n,n
2022-10-02 17:30:00,64,n,n,n,17,n,n,n,15,n,n,n,41.5,n,n,n,33,n,n,n,17,n,n,n,52.9,n,n,n,28.1,n,n,n,13,n,n,n,55.3,n,n,n,39,n,n,n,12,n,n,n
2022-10-02 18:30:00,48,n,n,n,10.9,n,n,n,7.4,n,n,n,23.3,n,n,n,23,n,n,n,2,n,n,n,42.3,n,n,n,28.7,n,n,n,15.5,n,n,n,38.3,n,n,n,22,n,n,n,9,n,n,n
2022-10-02 19:30:00,54.9,n,n,n,12.4,n,n,n,11,n,n,n,28.5,n,n,n,20,n,n,n,13,n,n,n,85.7,n,n,n,26.1,n,n,n,12.6,n,n,n,48.5,n,n,n,42,n,n,n,17,n,n,n
2022-10-02 20:30:00,56.8,n,n,n,11.6,n,n,n,10.2,n,n,n,22.7,n,n,n,24,n,n,n,12,n,n,n,91.7,n,n,n,24,n,n,n,9.6,n,n,n,44.2,n,n,n,29,n,n,n,11,n,n,n
2022-10-02 21:30:00,39.6,n,n,n,11.3,n,n,n,9.7,n,n,n,20.7,n,n,n,20,n,n,n,7,n,n,n,83.6,n,n,n,22.8,n,n,n,8.7,n,n,n,58.6,n,n,n,31,n,n,n,12,n,n,n
2022-10-02 22:30:00,45.5,n,n,n,11.8,n,n,n,10.4,n,n,n,24,n,n,n,36,n,n,n,11,n,n,n,46.1,n,n,n,16.5,n,n,n,6.7,n,n,n,46.6,n,n,n,23,n,n,n,9,n,n,n
2022-10-02 23:30:00,43.3,n,n,n,13.2,n,n,n,11.4,n,n,n,15.5,n,n,n,18,n,n,n,7,n,n,n,49,n,n,n,15.9,n,n,n,5.5,n,n,n,46.2,n,n,n,19,n,n,n,6,n,n,n
2022-10-03 00:30:00,31.3,n,n,n,11.1,n,n,n,9.8,n,n,n,12.2,n,n,n,20,n,n,n,8,n,n,n,19.2,n,n,n,9.8,n,n,n,3.1,n,n,n,31.8,n,n,n,12,n,n,n,3,n,n,n
2022-10-03 01:30:00,20.8,n,n,n,9.2,n,n,n,8.1,n,n,n,16.1,n,n,n,23,n,n,n,6,n,n,n,27.4,n,n,n,10,n,n,n,2.8,n,n,n,20.4,n,n,n,12,n,n,n,3,n,n,n
2022-10-03 02:30:00,24.4,n,n,n,8.3,n,n,n,7.6,n,n,n,14.7,n,n,n,12,n,n,n,5,n,n,n,16,n,n,n,11.1,n,n,n,4.3,n,n,n,24.4,n,n,n,16,n,n,n,9,n,n,n
2022-10-03 03:30:00,26.8,n,n,n,9.8,n,n,n,8.7,n,n,n,17.3,n,n,n,18,n,n,n,3,n,n,n,12.4,n,n,n,12,n,n,n,5.6,n,n,n,26.5,n,n,n,13,n,n,n,6,n,n,n
2022-10-03 04:30:00,20.4,n,n,n,6.7,n,n,n,6.1,n,n,n,9.4,n,n,n,6,n,n,n,7,n,n,n,14,n,n,n,8.8,n,n,n,3.3,n,n,n,21.5,n,n,n,11,n,n,n,5,n,n,n
2022-10-03 05:30:00,12.4,n,n,n,6.1,n,n,n,7.6,n,n,n,11.5,n,n,n,n,n,n,n,8,n,n,n,18.1,n,n,n,12.3,n,n,n,5.4,n,n,n,16.6,n,n,n,11,n,n,n,7,n,n,n
2022-10-03 06:30:00,20,n,n,n,6.7,n,n,n,7.3,n,n,n,12.6,n,n,n,11,n,n,n,7,n,n,n,23.4,n,n,n,15.5,n,n,n,8,n,n,n,19,n,n,n,12,n,n,n,11,n,n,n
2022-10-03 07:30:00,33,n,n,n,8.6,n,n,n,8.1,n,n,n,23.9,n,n,n,31,n,n,n,8,n,n,n,33.3,n,n,n,17.3,n,n,n,8.9,n,n,n,24.7,n,n,n,16,n,n,n,9,n,n,n
2022-10-03 08:30:00,36.5,n,n,n,5.9,n,n,n,4.6,n,n,n,24.1,n,n,n,19,n,n,n,6,n,n,n,60,n,n,n,23.3,n,n,n,11.4,n,n,n,23.9,n,n,n,17,n,n,n,8,n,n,n
2022-10-03 09:30:00,27.7,n,n,n,13.4,n,n,n,11.3,n,n,n,6,n,n,n,38,n,n,n,5,n,n,n,17,n,n,n,12.1,n,n,n,4.9,n,n,n,17.5,n,n,n,11,n,n,n,6,n,n,n
2022-10-03 10:30:00,24.1,n,n,n,9.3,n,n,n,7.5,n,n,n,14,n,n,n,17,n,n,n,5,n,n,n,24.1,n,n,n,9.4,n,n,n,1.7,n,n,n,19.2,n,n,n,13,n,n,n,3,n,n,n
2022-10-03 11:30:00,28.6,n,n,n,10.4,n,n,n,8.4,n,n,n,11.5,n,n,n,23,n,n,n,7,n,n,n,27.1,n,n,n,9.7,n,n,n,1.9,n,n,n,22.9,n,n,n,19,n,n,n,5,n,n,n
2022-10-03 12:00:00,n,n,30.1,VM,n,n,9.3,VM,n,n,8.2,VM,n,n,15.2,VM,n,n,17.1,VM,n,n,6.3,VM,n,n,26.1,VM,n,n,13.3,VM,n,n,6.3,VM,n,n,23.1,VM,n,n,13.5,VM,n,n,6,VM
2022-10-03 12:30:00,32,n,n,n,11.9,n,n,n,10.1,n,n,n,12.2,n,n,n,13,n,n,n,7,n,n,n,21.8,n,n,n,7.3,n,n,n,0.5,n,n,n,24.1,n,n,n,12,n,n,n,3,n,n,n
2022-10-03 13:30:00,31.5,n,n,n,8.9,n,n,n,6.9,n,n,n,16.2,n,n,n,17,n,n,n,8,n,n,n,21.4,n,n,n,11.4,n,n,n,3.7,n,n,n,20.1,n,n,n,13,n,n,n,3,n,n,n
2022-10-03 14:30:00,18.7,n,n,n,7.2,n,n,n,5.6,n,n,n,10.1,n,n,n,16,n,n,n,3,n,n,n,18.7,n,n,n,9.3,n,n,n,2,n,n,n,18.4,n,n,n,12,n,n,n,2,n,n,n
2022-10-03 15:30:00,17.7,n,n,n,8,n,n,n,6.6,n,n,n,14.9,n,n,n,6,n,n,n,2,n,n,n,25.8,n,n,n,10.4,n,n,n,3,n,n,n,19.3,n,n,n,11,n,n,n,5,n,n,n
2022-10-03 16:30:00,47.7,n,n,n,14.7,n,n,n,12.5,n,n,n,26.6,n,n,n,13,n,n,n,6,n,n,n,32.9,n,n,n,14,n,n,n,4.4,n,n,n,23.9,n,n,n,14,n,n,n,5,n,n,n
2022-10-03 17:30:00,76.7,n,n,n,16,n,n,n,12.4,n,n,n,33.7,n,n,n,17,n,n,n,5,n,n,n,60.9,n,n,n,30.8,n,n,n,16.5,n,n,n,33,n,n,n,16,n,n,n,11,n,n,n
2022-10-03 18:30:00,51.3,n,n,n,12.2,n,n,n,9.4,n,n,n,17.5,n,n,n,18,n,n,n,5,n,n,n,34.4,n,n,n,24.8,n,n,n,15.8,n,n,n,32.5,n,n,n,22,n,n,n,11,n,n,n
2022-10-03 19:30:00,35.2,n,n,n,9.9,n,n,n,9.3,n,n,n,17.2,n,n,n,19,n,n,n,7,n,n,n,45.6,n,n,n,28.9,n,n,n,18.8,n,n,n,30.9,n,n,n,25,n,n,n,11,n,n,n
2022-10-03 20:30:00,29.5,n,n,n,7.4,n,n,n,7,n,n,n,22.1,n,n,n,25,n,n,n,11,n,n,n,51.1,n,n,n,20.1,n,n,n,10.1,n,n,n,35.2,n,n,n,20,n,n,n,7,n,n,n
2022-10-03 21:30:00,16.5,n,n,n,11.4,n,n,n,10.9,n,n,n,n,n,n,n,17,n,n,n,11,n,n,n,6.9,n,n,n,4.9,n,n,n,1.8,n,n,n,31.1,n,n,n,11,n,n,n,5,n,n,n
2022-10-03 22:30:00,n,n,n,n,7.4,n,n,n,7.3,n,n,n,1.7,n,n,n,8,n,n,n,6,n,n,n,5.7,n,n,n,1.8,n,n,n,n,n,n,n,6.4,n,n,n,6,n,n,n,2,n,n,n
