n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-11-01 19:30:00,11,n,n,n,7,n,n,n,7,n,n,n,16.9,n,n,n,6,n,n,n,9,n,n,n,18,n,n,n,11,n,n,n,7,n,n,n,26.3,n,n,n,11,n,n,n,12,n,n,n
2023-11-01 20:30:00,14.6,n,n,n,9,n,n,n,6,n,n,n,16.9,n,n,n,13,n,n,n,8,n,n,n,33,n,n,n,19,n,n,n,8,n,n,n,14.6,n,n,n,7,n,n,n,7,n,n,n
2023-11-01 21:30:00,34,n,n,n,20,n,n,n,6,n,n,n,17,n,n,n,9,n,n,n,3,n,n,n,26.4,n,n,n,14,n,n,n,6,n,n,n,11.1,n,n,n,6,n,n,n,7,n,n,n
2023-11-01 22:30:00,11,n,n,n,7,n,n,n,3,n,n,n,13.4,n,n,n,8,n,n,n,2,n,n,n,21.3,n,n,n,12,n,n,n,3,n,n,n,8.2,n,n,n,7,n,n,n,5,n,n,n
2023-11-01 23:30:00,18.1,n,n,n,11,n,n,n,5,n,n,n,17,n,n,n,12,n,n,n,6,n,n,n,25.6,n,n,n,13,n,n,n,2,n,n,n,10.5,n,n,n,11,n,n,n,6,n,n,n
2023-11-02 00:30:00,32.3,n,n,n,19,n,n,n,2,n,n,n,18.8,n,n,n,8,n,n,n,7,n,n,n,28,n,n,n,14,n,n,n,3,n,n,n,13.6,n,n,n,12,n,n,n,5,n,n,n
2023-11-02 01:30:00,n,n,n,n,n,n,n,n,n,n,n,n,23,n,n,n,11,n,n,n,5,n,n,n,24.2,n,n,n,16,n,n,n,3,n,n,n,18.1,n,n,n,8,n,n,n,5,n,n,n
2023-11-02 02:30:00,28.7,n,n,n,17,n,n,n,3,n,n,n,14.1,n,n,n,7,n,n,n,5,n,n,n,17.7,n,n,n,14,n,n,n,7,n,n,n,9.8,n,n,n,5,n,n,n,6,n,n,n
2023-11-02 03:30:00,21.6,n,n,n,13,n,n,n,5,n,n,n,10.5,n,n,n,7,n,n,n,7,n,n,n,16.6,n,n,n,11,n,n,n,7,n,n,n,7.4,n,n,n,9,n,n,n,6,n,n,n
2023-11-02 04:30:00,28.7,n,n,n,17,n,n,n,3,n,n,n,13.7,n,n,n,7,n,n,n,7,n,n,n,19.5,n,n,n,13,n,n,n,5,n,n,n,9.9,n,n,n,7,n,n,n,3,n,n,n
2023-11-02 05:30:00,28.7,n,n,n,17,n,n,n,5,n,n,n,19.4,n,n,n,8,n,n,n,7,n,n,n,23.6,n,n,n,17,n,n,n,12,n,n,n,13.1,n,n,n,9,n,n,n,3,n,n,n
2023-11-02 06:30:00,21.6,n,n,n,13,n,n,n,5,n,n,n,21.2,n,n,n,11,n,n,n,7,n,n,n,19.9,n,n,n,17,n,n,n,6,n,n,n,13,n,n,n,13,n,n,n,2,n,n,n
2023-11-02 07:30:00,12.8,n,n,n,8,n,n,n,14,n,n,n,18.4,n,n,n,8,n,n,n,8,n,n,n,17.1,n,n,n,14,n,n,n,2,n,n,n,11.8,n,n,n,8,n,n,n,3,n,n,n
